﻿🐎央视频道,#genre#
CCTV1,http://m.061899.xyz/mg/cctv1
CCTV2,http://m.061899.xyz/mg/cctv2
CCTV3,http://m.061899.xyz/mg/cctv3
CCTV4,http://m.061899.xyz/mg/cctv4
CCTV5,http://m.061899.xyz/mg/cctv5
CCTV5+,http://m.061899.xyz/mg/cctv5p
CCTV6,http://m.061899.xyz/mg/cctv6
CCTV7,http://m.061899.xyz/mg/cctv7
CCTV8,http://m.061899.xyz/mg/cctv8
CCTV9,http://m.061899.xyz/mg/cctv9
CCTV10,http://m.061899.xyz/mg/cctv10
CCTV11,http://m.061899.xyz/mg/cctv11
CCTV12,http://m.061899.xyz/mg/cctv12
CCTV13,http://m.061899.xyz/mg/cctv13
CCTV14,http://m.061899.xyz/mg/cctv14
CCTV15,http://m.061899.xyz/mg/cctv15
CCTV16,http://m.061899.xyz/mg/cctv16
CCTV17,http://m.061899.xyz/mg/cctv17
CCTV台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub

🐎卫视频道,#genre#
北京卫视,http://m.061899.xyz/mg/bjws
东方卫视,http://m.061899.xyz/mg/dfws
浙江卫视,http://m.061899.xyz/mg/zjws
江苏卫视,http://m.061899.xyz/mg/jsws
湖南卫视,http://m.061899.xyz/mg/hunws
广东卫视,http://m.061899.xyz/mg/gdws
深圳卫视,http://m.061899.xyz/mg/szws
天津卫视,http://m.061899.xyz/mg/tjws
安徽卫视,http://m.061899.xyz/mg/ahws
山东卫视,http://m.061899.xyz/mg/sdws
河北卫视,http://m.061899.xyz/mg/hbws
河南卫视,http://m.061899.xyz/mg/hnws
江西卫视,http://m.061899.xyz/mg/jxws
四川卫视,http://m.061899.xyz/mg/scws
重庆卫视,http://m.061899.xyz/mg/cqws
贵州卫视,http://m.061899.xyz/mg/gzws
湖北卫视,http://m.061899.xyz/mg/hubws
广西卫视,http://m.061899.xyz/mg/gxws
东南卫视,http://m.061899.xyz/mg/dnws
海南卫视,http://m.061899.xyz/mg/hinws
甘肃卫视,http://m.061899.xyz/mg/gsws
青海卫视,http://m.061899.xyz/mg/qhws
陕西卫视,http://m.061899.xyz/mg/sxws
宁夏卫视,http://m.061899.xyz/mg/nxws
新疆卫视,http://m.061899.xyz/mg/xjws
西藏卫视,http://m.061899.xyz/mg/xzws
兵团卫视,http://m.061899.xyz/mg/btws
吉林卫视,http://m.061899.xyz/mg/jlws
内蒙古卫视,http://m.061899.xyz/mg/nmgws
黑龙江卫视,http://m.061899.xyz/mg/hljws
重温经典,http://m.061899.xyz/mg/cwjd
劲爆体育,http://m.061899.xyz/mg/jbty
咪咕体育,http://m.061899.xyz/mg/mgty
北京体育,http://m.061899.xyz/mg/bjty
北京新闻,http://m.061899.xyz/mg/bjxw
北京财经,http://m.061899.xyz/mg/bjcj
北京文艺,http://m.061899.xyz/mg/bjwy
北京生活,http://m.061899.xyz/mg/bjsh
北京少儿,http://m.061899.xyz/mg/bjkk
北京影视,http://m.061899.xyz/mg/bjys
北京纪实,http://m.061899.xyz/mg/bjjs
东方影视,http://m.061899.xyz/mg/shys
东方纪实,http://m.061899.xyz/mg/xjs
番禺卫视,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv

🐎无损音乐频道,#genre#
震撼开场DJ,http://rihou.cc:555/tv/[mv]白嫖软件
粤语Funk-H,http://rihou.cc:555/tv/[mv]免费观看
全粤语FK串烧,http://rihou.cc:555/tv/[mv]大街网源
粤语流行专辑,http://rihou.cc:555/tv/[mv]互相搬助
经典粤语旋律串烧,http://rihou.cc:555/tv/[mv]能看就行
粤语精选串烧,http://rihou.cc:555/tv/[mv]分享更新
精选国粤语串烧,http://rihou.cc:555/tv/[mv]爱扒随便
国粤语FK串烧,http://rihou.cc:555/tv/[mv]不必纠结

经典粤语DJ私人订制,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000crdl34vog65v7e9of17g&ratio=720p&line=0
全粤语8090经典劲爆DJ,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cnamtabc77u54nj2kh6g&ratio=720p&line=0
嘉俊-包房自制串烧DJ,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cr0tlanog65thcno13c0&ratio=720p&line=0
粤语打碟现场串烧DJ,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000crom7dnog65uq525ar4g&ratio=720p&line=0
Electro风格全粤语女声串烧DJ,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v1e00fgi0000ct65p5fog65r7qkgveu0&ratio=720p&line=0
全粤语Club风格汽车慢摇串烧DJ,http://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cpp7b2nog65rhkqq6tpg
粤语伤感情歌嗨曲串烧DJ,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cph1etnog65mpr23b990&ratio=720p&line=0
全粤语女声深情DJ串烧,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000ctbb4kvog65q67op5tug&ratio=720p&line=0

高解析Hi-Res发烧人声-祝福,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864602174072888_484ae3daaad955c5_5764_hlsb.m3u8
高解析Hi-Res电子琴纯音乐-红尘情歌,https://txmov2.a.kwimgs.com/bs3/video-hls/5194057926283586793_ef02c1470cdea760_2621_hlsb.m3u8
高解析Hi-Res电子琴纯音乐-爱情一阵风,https://txmov2.a.kwimgs.com/bs3/video-hls/5221079526633260746_5b13a2d85a07d8b6_3914_hlsb.m3u8
高解析Hi-Res发烧人声-敖包相会,https://txmov2.a.kwimgs.com/bs3/video-hls/5221642472508507592_af987c1caccdfc84_5603_hlsb.m3u8
高解析Hi-Res发烧人声-谁明浪子心,https://txmov2.a.kwimgs.com/bs3/video-hls/5254575045153757586_2dd5bc36ada404b0_3886_hlsb.m3u8
高解析Hi-Res电子琴纯音乐-北国之春,https://txmov2.a.kwimgs.com/upic/2025/11/16/19/BMjAyNTExMTYxOTM4MDhfMjQ1OTc1Mjc3N18xODAwNjYzNTMyNTBfMl8z_b_B621c6a503c97f5604e4775945819c871.mp4
高解析Hi-Res发烧人声-上海滩,https://txmov2.a.kwimgs.com/ksc2/3DYdcQfvyhll-j4GDQB8LHBGniKTc2I9SX7GHsIlthn-rf7GbF7DC3W72d2GU6TXAPRfR0BxOV-hJ3jux59OJ_l0WuqunSqaKNbHWOuD87M.m3u8
高解析Hi-Res发烧人声-千千阙歌,https://txmov2.a.kwimgs.com/bs3/video-hls/5193776449262008392_dc2f9ca7c49d1e3b_5199_hlsb.m3u8
高解析Hi-Res发烧人声-情字,https://txmov2.a.kwimgs.com/upic/2025/11/16/19/BMjAyNTExMTYxOTIwMjFfMjQ1OTc1Mjc3N18xODAwNjUwOTA5ODBfMl8z_b_B300c07beeb9fef7827a4304d3b9d2266.mp4
高解析Hi-Res发烧人声-问,https://txmov2.a.kwimgs.com/bs3/video-hls/5208694620984763203_9c3e21218b10589c_9055_hlsb.m3u8
高解析Hi-Res电子琴纯音乐-一剪梅,https://txmov2.a.kwimgs.com/upic/2025/11/16/19/BMjAyNTExMTYxOTE0MjNfMjQ1OTc1Mjc3N18xODAwNjQ2MjAyMDhfMl8z_b_B593184d02e2501e36962c6114b6991ef.mp4
高解析Hi-Res发烧人声-不要再来伤害我,https://txmov2.a.kwimgs.com/ksc2/4uhdet1aAQaC5R8Sh41NrdB24pMFHqfR291KPHACsEX0XzUMGivIngLbRLc6KRLGwYfPxkHf1UL4dwHHiPbN5EekVEz1CrJXBd7avgPYdn8.m3u8
高解析Hi-Res重低音DJ-阿西 阿西,https://txmov2.a.kwimgs.com/bs3/video-hls/5252041767583087158_b7214fd079db7cd8_7933_hlsb.m3u8
高解析Hi-Res电子琴纯音乐-渴望,https://txmov2.a.kwimgs.com/bs3/video-hls/5200250371210460207_ea7e6fde2c97f680_1962_hlsb.m3u8
高解析Hi-Res发烧人声-不装饰你的梦,https://txmov2.a.kwimgs.com/bs3/video-hls/5198280046758747237_379ec6387ad9eed6_3944_hlsb.m3u8
高解析Hi-Res发烧人声-挪威的森林,https://txmov2.a.kwimgs.com/upic/2025/10/27/02/BMjAyNTEwMjcwMjAwMjVfMjQ1OTc1Mjc3N18xNzgzNzgwODE5NjJfMl8z_b_Bcd5a0449ec1e11722d69d2ec3ba1f46d.mp4
高解析Hi-Res发烧人声-清平调,https://txmov2.a.kwimgs.com/bs3/video-hls/5194620872184868940_123b6a92ba68c15a_3204_hlsb.m3u8
高解析Hi-Res器乐演奏——康定情歌,https://txmov2.a.kwimgs.com/bs3/video-hls/5217701820035008562_697d9c474066ff90_5926_hlsb.m3u8
高解析Hi-Res发烧人声-诺言,https://txmov2.a.kwimgs.com/bs3/video-hls/5228960818987503310_030390a2744123c0_3105_hlsb.m3u8
高解析Hi-Res重低音,https://txmov2.a.kwimgs.com/bs3/video-hls/5231775570156447370_51d43111bb661f9e_2069_hlsb.m3u8
高解析Hi-Res发烧人声-爱你的路上千万里,https://txmov2.a.kwimgs.com/upic/2025/10/23/23/BMjAyNTEwMjMyMzU0NDNfMjQ1OTc1Mjc3N18xNzgxMDU2MzU0NjdfMl8z_b_Bffe49b78fc14565839897e651b87e203.mp4
高解析Hi-Res重低音电子琴纯音乐-梅花三弄,https://txmov2.a.kwimgs.com/upic/2025/10/23/17/BMjAyNTEwMjMxNzUxMDBfMjQ1OTc1Mjc3N18xNzgwNzk1OTE0ODJfMl8z_b_Bb0df493ad655c80bfed9441ee36d64bf.mp4

﻿小提琴和钢琴《水晶冰川湾》,https://vd3.bdstatic.com/mda-rmc4iydm1hcz0pae/360p/h264/1765596390753990565/mda-rmc4iydm1hcz0pae.mp4
小提琴和钢琴《热带泻湖大桥上-I》,https://vd3.bdstatic.com/mda-rmd27rnn3sp593bm/360p/h264/1765676274352870381/mda-rmd27rnn3sp593bm.mp4
小提琴和钢琴《热带泻湖大桥上-II》,https://vd3.bdstatic.com/mda-rmd2xi05rbcxzkdc/360p/h264/1765678346984587087/mda-rmd2xi05rbcxzkdc.mp4
大提琴、小提琴和钢琴《舒适的冬季氛围》,https://vd3.bdstatic.com/mda-rmc4iygt5f2x1ymm/360p/h264/1765596390826681602/mda-rmc4iygt5f2x1ymm.mp4
